Name,Address,Type,Phone,Website,latitude,longitude
Sky Zone Trampoline Park,1572-A Highwoods Blvd Greensboro NC 27410,Trampoline Park,(336) 550-1800,https://www.skyzone.com/greensboro/,36.11236499,-79.87926306
Sky Zone Trampoline Park,6431 Market Street Wilmington NC 28405,Trampoline Park,(910) 444-1002,https://www.skyzone.com/wilmington-nc/,34.25544516,-77.84419908
Sky Zone Trampoline Park,1843 Catawba Valley Blvd SE Hickory NC 28602,Trampoline Park,(828) 222-4144,https://www.skyzone.com/hickory-nc/,35.70302911,-81.30951408
Urban Air Trampoline and Adventure Park,"9108 Lawyers Rd, Mint Hill, NC 28227",Trampoline Park, (704) 992-7883,https://www.urbanair.com/north-carolina-mint-hill,35.18762353,-80.69013197
Urban Air Trampoline and Adventure Park,"17001 Kenton Dr, Cornelius, NC 28031",Trampoline Park, (704) 800-4699,https://www.urbanair.com/north-carolina-cornelius,35.44685682,-80.89095476
Urban Air Trampoline and Adventure Park,"200 Summit Square Boulevard Winston-Salem, NC 27105",Trampoline Park,336-793-2145,https://www.urbanair.com/north-carolina-winston-salem/,36.18633899,-80.27409282
Urban Air Trampoline and Adventure Park,"3202 W Friendly Ave, Greensboro, NC 27408",Trampoline Park,(336) 218-9144,https://www.urbanair.com/north-carolina-greensboro/,36.08385452,-79.83323927
Urban Air Trampoline and Adventure Park,"7810 Poyner Pond Circle Raleigh, North Carolina 27616",Trampoline Park,919-842-3569,https://www.urbanair.com/north-carolina-raleigh/,35.8642942,-78.56897593
Urban Air Trampoline and Adventure Park,"2051 Skibo Rd Fayetteville, North Carolina 28314",Trampoline Park,(910) 218-0502,https://www.urbanair.com/north-carolina-fayetteville/,35.05513555,-78.97250024
Urban Air Trampoline and Adventure Park,"1020 WCC Lane Morrisville, North Carolina 27560",Trampoline Park,(919) 377-9609,https://www.urbanair.com/north-carolina-morrisville/,35.84104695,-78.81699606
Great Wolf Lodge Water Park | Concord,"10175 Weddington Road, Concord NC 28027",Water Park,866.925.9653 ,https://www.greatwolf.com,35.36292454,-80.71355849
Ray’s Splash Planet,"215 N Sycamore St Charlotte, NC 28202",Water Park,980-314-4729,https://parkandrec.mecknc.gov/Places-to-Visit/Pools-Beaches-Spraygrounds/rays-splash-planet,35.23669114,-80.85253161
Little Rascals Pony Rides,365 Haughton Williams Rd Franklin NC 28734,Zoo,(828) 421-3308,https://little-rascals-pony-rides-and-petting-zoo.ueniweb.com,35.21576888,-83.4269158
Why Not An American Ark,3224 Medlin Rd Monroe NC 28112,Zoo,(704) 226-5406,www.wnaaa.com,34.96583649,-80.52504389
Tiger World,"4400 Cook Rd, Rockwell, NC 28138",Zoo,(704) 279-6363,https://tigerworld.us,35.549074,-80.494939
Darby Acres Farm,"Hutchinson Ln, Charlotte, NC, 28216 (check website) ",Farm,704-738-4444,https://www.darbyacresfarm.com,35.316733,-80.926593
Darby Safari,"Kelly Rd, Charlotte, NC, 28216 (check website) ",Zoo,704-738-4445,https://www.darbyacresfarm.com,35.315795,-80.91464
Friends of Western North Carolina Nature Center,"75 Gashes Creek Road Asheville, NC 28805",Zoo,828-259-8080,https://wildwnc.org,35.5794625,-82.4937685
It's A Zoo Life,"4313 NC-42, Macclesfield, NC 27852",Zoo,252 266 7974,https://www.itsazoolife.com,35.750972,-77.670582
Crandall Bowles Children's Farm,"2573 Lake Haigler Drive, Fort Mill SC 29715",Zoo,803.547.1019,https://www.ascgreenway.org/play/childrens-farm/,34.897292,-80.883788
Hill Ridge Farms,703 Tarboro Rd Youngsville NC 27596,Farm,(919) 556-1771,https://www.hillridgefarms.com,36.01633113,-78.44282005
Hope Farms & Learning Ctr,872 Briley Rd Greenville NC 27834,Farm,(252) 000-1111,www.hopefarmslc.com,35.67789269,-77.38218167
Greenlands Farm Store,668 Midway Rd SE Bolivia NC 28422,Farm,(910) 253-7934,www.greenlandsfarm.org,34.03652755,-78.15519081
Shingleton Farms  Shop,7009 Nc Highway 58 S Stantonsburg NC 27883,Farm,(252) 238-2155,www.shingletonfarms.com,35.614631,-77.820592
Changing Tomorrow Farm ,6312 Cass Holt Rd Holly Springs NC 27540,Farm,(919) 000-1111,www.changingtomorrowfarm.com,35.61143348,-78.87028002
Spring Meadow Farm,2080 Wilsons Mills Rd Smithfield NC 27577,Farm,(919) 989-8878,www.springmeadowfarms.com,35.54783863,-78.34445007
Sweet Valley Ranch,2990 Sunnyside School Rd Fayetteville NC 28312,Farm,(910) 797-2032,www.sweetvalleyranchnc.com,35.02476392,-78.81831163
Winterpast Farm,12936 Ghoston Rd Wake Forest NC 27587,Farm,(919) 000-1111,www.winterpast.org,35.99630326,-78.6704421
Happy's Farm,985 Parks Rd Salisbury NC 28146,Farm,(704) 279-5268,www.happysfarm.org,35.56304215,-80.49505908
Quest at Latta Nature Preserve,"6345 Sample Rd, Huntersville, NC 28078",Nature Center,(980) 314-7878,https://parkandrec.mecknc.gov/Places-to-Visit/Nature/quest-latta-nature-preserve,35.358013,-80.9071
